iter	Passed	Remaining
740	1702	594
741	1704	592
742	1707	590
743	1709	588
744	1711	585
745	1714	583
746	1716	581
747	1718	578
748	1720	576
749	1722	574
750	1724	571
751	1727	569
752	1729	567
753	1731	564
754	1734	562
755	1736	560
756	1739	558
757	1741	555
758	1743	553
759	1745	551
760	1748	549
761	1751	547
762	1754	544
763	1756	542
764	1759	540
765	1761	538
766	1764	535
767	1766	533
768	1768	531
769	1770	528
770	1773	526
771	1775	524
772	1778	522
773	1780	519
774	1782	517
775	1784	515
776	1787	512
777	1789	510
778	1791	508
779	1793	505
780	1796	503
781	1798	501
782	1800	499
783	1802	496
784	1805	494
785	1807	492
786	1809	489
787	1811	487
788	1814	485
789	1816	482
790	1818	480
791	1820	478
792	1822	475
793	1824	473
794	1827	471
795	1829	468
796	1831	466
797	1833	464
798	1836	461
799	1838	459
800	1840	457
801	1842	454
802	1845	452
803	1847	450
804	1849	448
805	1852	445
806	1854	443
807	1857	441
808	1859	439
809	1861	436
810	1864	434
811	1866	432
812	1868	429
813	1871	427
814	1873	425
815	1875	422
816	1877	420
817	1880	418
818	1882	416
819	1885	413
820	1887	411
821	1889	409
822	1892	406
823	1895	404
824	1897	402
825	1899	400
826	1902	397
827	1905	395
828	1907	393
829	1910	391
830	1912	388
831	1914	386
832	1917	384
833	1920	382
834	1922	379
835	1925	377
836	1927	375
837	1929	373
838	1932	370
839	1934	368
840	1936	366
841	1938	363
842	1941	361
843	1943	359
844	1945	356
845	1947	354
846	1950	352
847	1952	350
848	1955	347
849	1957	345
850	1960	343
851	1962	340
852	1964	338
853	1967	336
854	1969	333
855	1971	331
856	1973	329
857	1976	327
858	1978	324
859	1980	322
860	1982	320
861	1985	317
862	1987	315
863	1989	313
864	1991	310
865	1994	308
866	1997	306
867	1999	304
868	2001	301
869	2003	299
870	2005	297
871	2008	294
872	2010	292
873	2012	290
874	2014	287
875	2017	285
876	2019	283
877	2021	280
878	2023	278
879	2026	276
880	2028	273
881	2030	271
882	2033	269
883	2035	267
884	2037	264
885	2039	262
886	2041	260
887	2043	257
888	2046	255
889	2048	253
890	2051	250
891	2053	248
892	2056	246
893	2058	244
894	2060	241
895	2062	239
896	2064	237
897	2067	234
898	2069	232
899	2071	230
900	2074	227
901	2076	225
902	2078	223
903	2080	220
904	2083	218
905	2085	216
906	2087	214
907	2089	211
908	2092	209
909	2094	207
910	2096	204
911	2098	202
912	2101	200
913	2103	197
914	2105	195
915	2107	193
916	2110	190
917	2112	188
918	2114	186
919	2117	184
920	2119	181
921	2121	179
922	2123	177
923	2126	174
924	2128	172
925	2130	170
926	2134	168
927	2136	165
928	2139	163
929	2141	161
930	2143	158
931	2146	156
932	2148	154
933	2151	152
934	2153	149
935	2155	147
936	2158	145
937	2160	142
938	2162	140
939	2164	138
940	2167	135
941	2169	133
942	2171	131
943	2173	128
944	2176	126
945	2178	124
946	2180	122
947	2183	119
948	2185	117
949	2188	115
950	2190	112
951	2192	110
952	2195	108
953	2197	105
954	2199	103
955	2202	101
956	2205	99
957	2207	96
958	2209	94
959	2212	92
960	2214	89
961	2216	87
962	2219	85
963	2221	82
964	2223	80
965	2226	78
966	2228	76
967	2230	73
968	2232	71
969	2235	69
970	2237	66
971	2239	64
972	2241	62
973	2244	59
974	2246	57
975	2248	55
976	2250	52
977	2252	50
978	2255	48
979	2257	46
980	2259	43
981	2261	41
982	2264	39
983	2266	36
984	2268	34
985	2271	32
986	2273	29
987	2275	27
988	2277	25
989	2279	23
990	2282	20
991	2284	18
992	2286	16
993	2288	13
994	2290	11
995	2293	9
996	2295	6
997	2297	4
998	2300	2
999	2302	0
